This file is generated using the information for dark files (http://www.stsci.edu/hst/wfc3/documents/ISRs/WFC3-2014-06.pdf),,
SUBARRAY,SAMPSEQ,Dark
1024,RAPID,xag19292i_drk.fits
512,RAPID,xcc20397i_drk.fits
256,RAPID,xcc20396i_drk.fits
128,RAPID,xcc20394i_drk.fits
64,RAPID,xcc20398i_drk.fits
1024,SPARS10,xag19294i_drk.fits
256,SPARS10,xcc2039ai_drk.fits
128,SPARS10,xcc20399i_drk.fits
1024,SPARS25,xag19295i_drk.fits
512,SPARS25,xcc2039ci_drk.fits
256,SPARS25,xcc2039bi_drk.fits
1024,SPARS50,xag19296i_drk.fits
1024,SPARS100,xag19293i_drk.fits
1024,SPARS200,x5g1509ki_drk.fits
1024,STEP25,xag19299i_drk.fits
512,STEP25,xcc2039di_drk.fits
1024,STEP50,xag1929ai_drk.fits
1024,STEP100,xag19297i_drk.fits
1024,STEP200,xag19298i_drk.fits
