"This file is generated using the Time Per Exposure given in section 13.3.6 (pg 260) of the HST Cycle 22 Phase II Proposal Instructions, (http://www.stsci.edu/ftp/documents/p2pi/p2pi_A4.pdf) Time is in seconds.  SPARS10 512 is from real data as its not given in the handbook",,,
SUBARRAY,SAMPSEQ,SAMPNUM,TIME
1024,RAPID,1,2.932
1024,RAPID,2,5.865
1024,RAPID,3,8.797
1024,RAPID,4,11.729
1024,RAPID,5,14.661
1024,RAPID,6,17.594
1024,RAPID,7,20.526
1024,RAPID,8,23.458
1024,RAPID,9,26.391
1024,RAPID,10,29.323
1024,RAPID,11,32.255
1024,RAPID,12,35.187
1024,RAPID,13,38.12
1024,RAPID,14,41.052
1024,RAPID,15,43.984
512,RAPID,1,0.853
512,RAPID,2,1.706
512,RAPID,3,2.559
512,RAPID,4,3.412
512,RAPID,5,4.265
512,RAPID,6,5.118
512,RAPID,7,5.971
512,RAPID,8,6.824
512,RAPID,9,7.677
512,RAPID,10,"8,530"
512,RAPID,11,9.383
512,RAPID,12,10.236
512,RAPID,13,11.089
512,RAPID,14,11.942
512,RAPID,15,12.795
256,RAPID,1,0.278
256,RAPID,2,0.556
256,RAPID,3,0.833
256,RAPID,4,1.111
256,RAPID,5,1.389
256,RAPID,6,1.667
256,RAPID,7,1.945
256,RAPID,8,2.223
256,RAPID,9,2.5
256,RAPID,10,2.778
256,RAPID,11,3.056
256,RAPID,12,3.334
256,RAPID,13,3.612
256,RAPID,14,3.889
256,RAPID,15,4.167
128,RAPID,1,0.113
128,RAPID,2,0.225
128,RAPID,3,0.338
128,RAPID,4,0.451
128,RAPID,5,0.564
128,RAPID,6,0.676
128,RAPID,7,0.789
128,RAPID,8,0.902
128,RAPID,9,1.014
128,RAPID,10,1.127
128,RAPID,11,1.24
128,RAPID,12,1.352
128,RAPID,13,1.465
128,RAPID,14,1.578
128,RAPID,15,1.691
64,RAPID,1,0.061
64,RAPID,2,0.122
64,RAPID,3,0.182
64,RAPID,4,0.243
64,RAPID,5,0.304
64,RAPID,6,0.365
64,RAPID,7,0.425
64,RAPID,8,0.486
64,RAPID,9,0.547
64,RAPID,10,0.608
64,RAPID,11,0.669
64,RAPID,12,0.729
64,RAPID,13,0.79
64,RAPID,14,0.851
64,RAPID,15,0.912
1024,SPARS10,1,2.932
1024,SPARS10,2,12.933
1024,SPARS10,3,22.934
1024,SPARS10,4,32.935
1024,SPARS10,5,42.936
1024,SPARS10,6,52.937
1024,SPARS10,7,62.938
1024,SPARS10,8,72.939
1024,SPARS10,9,82.94
1024,SPARS10,10,92.941
1024,SPARS10,11,102.942
1024,SPARS10,12,112.943
1024,SPARS10,13,122.944
1024,SPARS10,14,132.945
1024,SPARS10,15,142.946
512,SPARS10,1,0.853027
512,SPARS10,2,8.774724
512,SPARS10,3,16.696421
512,SPARS10,4,24.618118
512,SPARS10,5,32.539814
512,SPARS10,6,40.46151
512,SPARS10,7,48.383205
512,SPARS10,8,56.304901
512,SPARS10,9,64.226601
512,SPARS10,10,72.1483
512,SPARS10,11,80.07
512,SPARS10,12,87.991699
512,SPARS10,13,95.913399
512,SPARS10,14,103.835098
512,SPARS10,15,111.756798
256,SPARS10,1,0.278
256,SPARS10,2,7.624
256,SPARS10,3,14.971
256,SPARS10,4,22.317
256,SPARS10,5,29.664
256,SPARS10,6,37.01
256,SPARS10,7,44.357
256,SPARS10,8,51.703
256,SPARS10,9,59.05
256,SPARS10,10,66.396
256,SPARS10,11,73.743
256,SPARS10,12,81.089
256,SPARS10,13,88.436
256,SPARS10,14,95.782
256,SPARS10,15,103.129
128,SPARS10,1,0.113
128,SPARS10,2,7.294
128,SPARS10,3,14.475
128,SPARS10,4,21.657
128,SPARS10,5,28.838
128,SPARS10,6,36.02
128,SPARS10,7,43.201
128,SPARS10,8,50.382
128,SPARS10,9,57.564
128,SPARS10,10,64.745
128,SPARS10,11,71.926
128,SPARS10,12,79.108
128,SPARS10,13,86.289
128,SPARS10,14,93.471
128,SPARS10,15,100.652
1024,SPARS25,1,2.932
